label,left_elbow_shoulder_hip,right_elbow_shoulder_hip,right_hip_knee_angle,left_hip_knee_angle,right_elbow_angle,left_elbow_angle,wrist,elbow
haut,69.51762442775124,nan,nan,164.41242972501752,169.1413892805195,170.3093338639142,nan,nan
haut,68.13949308903392,nan,nan,164.38599050105827,167.6488005278852,169.42241047984294,nan,nan
bas,32.53725138679518,nan,nan,160.66155423912653,97.18804752088926,95.95437549705733,nan,nan
haut,2.8354904471220492,50.077499563848725,nan,173.5656715354955,176.2396601303969,169.0225143892308,0.5697755263381753,0.7014846921403994
haut,1.955296411493597,48.05974777179319,nan,176.73039079724342,175.8600503382767,167.89459074584485,0.5532352971768861,0.6825042784395916
haut,2.2624152801093893,50.44488082561008,nan,173.85935479096466,176.10312424412933,167.00179521665308,0.5569325252074138,0.6780189478366885
haut,3.2394446267322445,51.51859488779842,nan,170.93290818456543,175.75145434311003,168.58531769825444,0.5707379789532978,0.703385458605332
haut,4.199552068763948,54.55242343733982,nan,172.34944158452825,175.48360400857254,168.43882280329348,0.5693582482135799,0.7125593105311014
haut,4.4646343480322495,54.08632900652229,nan,171.18219731731,175.69032231231762,168.64478563213126,0.561308912384744,0.705141992351533
haut,2.4028897864736805,49.814147250245945,nan,174.6435277277594,174.46302905440893,166.89951660968126,0.5566462333263809,0.6903084934958423
haut,1.7992108819871806,46.24600919512677,nan,174.93513819343005,173.5604380587713,164.12529264898956,0.5241183205088098,0.6499221656508596
haut,2.9638350032287404,48.12299740589142,nan,172.37916430519027,171.4949139506462,153.2857268717369,0.4955794231993575,0.5722082390398442
haut,10.724501666431719,60.702143178582894,nan,154.25451328298854,171.35811838490216,125.21578821997946,0.39699841569855554,0.4306633288055822
bas,10.652312007071792,nan,nan,122.60680384617842,127.561320630511,82.99315810573518,nan,nan
bas,16.264380057834252,nan,nan,131.56352704033915,57.758958243923175,72.48121573605302,nan,nan
bas,20.13646108416867,nan,nan,137.27622998071834,49.446958401909164,65.61452765060028,nan,nan
bas,21.87158626331827,nan,nan,130.82004415691193,28.651692098880815,62.739782935940404,nan,nan
bas,24.484352102148616,nan,nan,129.02942303716014,44.52561554303465,64.08424473149354,nan,nan
bas,25.350797185888048,nan,nan,143.1916177141579,12.032394047751298,65.61702332551435,nan,nan
bas,25.350797185888048,nan,nan,143.1916177141579,12.032394047751298,65.61702332551435,nan,nan
bas,27.58179851613867,nan,nan,133.78994640877178,27.29068340471617,64.20318686602553,nan,nan
bas,24.86596572215592,nan,nan,130.3265876703063,59.97435737952574,63.66865212203229,nan,nan
bas,22.83332431775442,nan,nan,141.89991594783424,132.08809760131516,80.9020175845519,nan,nan
haut,10.693638615141053,53.14570467109,nan,178.07715745350023,172.3149370254941,134.45928101495906,0.4368662133644175,0.4798170405285944
haut,6.417797553463359,53.798378639243644,nan,169.04528925430557,171.77917735455247,134.24187981544384,0.43828399577513527,0.48231772603769435
haut,4.695607513696114,50.53453004937202,nan,174.54997718847414,171.34149328019333,139.91865773158625,0.45489892107486524,0.49943837847956535
haut,4.695607513696114,50.53453004937202,nan,174.54997718847414,171.34149328019333,139.91865773158625,0.45489892107486524,0.49943837847956535
haut,0.9016227870176864,46.80498089974664,nan,179.24634297183135,171.97250258949074,151.72922304076334,0.496201505104689,0.5581978950247881
haut,2.9404644079141784,46.51500071824416,nan,177.19336212108337,171.30588870182982,157.15786376959826,0.5033450723033139,0.5871541901629748
haut,6.292205310190182,44.67928869969214,nan,174.68145547577527,170.94878758994068,161.6544057735051,0.5099222373555943,0.6181525440631208
